"Month","Type","Campus","Family","Title","InPeriod"
"2025-12","Building","EC","Storage rooms","Storage Room Lights","False"
"2025-12","Building","EC","Warehouse","Warehouse","False"
"2025-12","Building","WC","Lobby & halls","Lobby Area/Halls Lighting","False"
"2025-12","Building","WC","Sanctuary","Sanctuary Lights","False"
"2025-12","Building","WC","Restrooms","Restroom Mirrors","False"
"2026-01","EnvClimate","CL","ENV","Environmental/Climate Inspect Meeting Rooms","True"
"2026-01","EnvClimate","CL","ENV","Environmental/Climate Insp Kitchen/Health Clinic","True"
"2026-01","Building","MC","Class & conference rooms","Class and Conference Room Door Frames","True"
"2026-01","Building","MC","Restrooms","Restroom Ceilings","True"
"2026-01","Building","MC","Stairwells","Stairwell Walls","True"
"2026-01","EnvClimate","MC","ENV","Environmental/Climate Inspect Sanctuary/Warehouse","True"
"2026-01","Building","MC","Storage rooms","Storage Room Trash","True"
"2026-01","Building","MC","Restrooms","Restroom Walls","True"
"2026-01","Building","MC","Restrooms","Restroom Urinals","True"
"2026-01","Building","MC","Restrooms","Restroom Toilets","True"
"2026-01","Building","MC","Elevators","Elevator Floors","True"
"2026-01","Building","MC","Sanctuary","Sanctuary Accessories","True"
"2026-01","Building","MC","Sanctuary","Sanctuary Carpet","True"
"2026-01","Building","MC","Lobby & halls","Lobby Area/Halls Floors","True"
"2026-01","Building","MC","Restrooms","Restroom Baseboards","True"
"2026-01","Building","WC","Sanctuary","Sanctuary Chairs","True"
"2026-01","EnvClimate","WC","ENV","Environmental/Climate Inspect Sanctuary/Warehouse","True"
"2026-01","Building","WC","Elevators","Elevator Doors/Walls","True"
"2026-01","Building","WC","Lobby & halls","Lobby Area/Halls Lighting","True"
"2026-01","Building","WC","Entrance areas","Entrance Area Glass/Ledges","True"
"2026-01","Building","WC","Exterior & grounds","Exterior Parking Lot/Other Paved Surfaces","True"
"2026-01","Building","WC","Exterior & grounds","Exterior Playground","True"
"2026-01","Building","WC","Lobby & halls","Lobby Area/Halls Floors","True"
"2026-02","EnvClimate","CL","ENV","Environmental/Climate Inspect Meeting Rooms","True"
"2026-02","EnvClimate","CL","ENV","Environmental/Climate Inspect Meeting Rooms","True"
"2026-02","Building","EC","Exterior & grounds","Exterior Parking Lot/Other Paved Surfaces","True"
"2026-02","Building","EC","Lobby & halls","Lobby Area/Halls Floors","True"
"2026-02","Building","EC","Warehouse","Warehouse","True"
"2026-02","Building","MC","Exterior & grounds","Exterior Doors","True"
"2026-02","Building","MC","Exterior & grounds","Exterior Sidewalks","True"
"2026-02","Building","MC","Elevators","Elevator Floors","True"
"2026-02","Building","MC","Stairwells","Stairwell Steps","True"
"2026-02","Building","MC","Class & conference rooms","Class and Conference Room Accessories","True"
"2026-02","Building","MC","Restrooms","Restroom Walls","True"
"2026-02","Building","MC","Sanctuary","Sanctuary Walls","True"
"2026-02","Building","MC","Sanctuary","Sanctuary Carpet","True"
"2026-02","Building","MC","Entrance areas","Entrance Area Floor/Mats","True"
"2026-02","Building","MC","Exterior & grounds","Exterior Sidewalks","True"
"2026-02","Building","MC","Restrooms","Restroom Walls","True"
"2026-02","Building","MC","Exterior & grounds","Exterior Fencing","True"
"2026-02","Building","MC","Stairwells","Stairwell Walls","True"
"2026-02","Building","MC","Exterior & grounds","Exterior Fencing","True"
"2026-02","Building","MC","Electrical & mechanical","Electrical/Mechanical Room Trash","True"
"2026-02","Building","MC","Exterior & grounds","Exterior Sidewalks","True"
